date,key,value
1/1/1910,anatomical diagram,8
1/1/1910,apparatus,2
1/1/1910,brain section,32
1/1/1910,building,0
1/1/1910,hands,8
1/1/1910,histology,52
1/1/1910,historical,4
1/1/1910,history,1
1/1/1910,other,0
1/1/1910,other diagram,4
1/1/1910,patient,0
1/1/1910,patient-produced artifact,5
1/1/1910,physician,0
1/1/1910,specimen,3
1/1/1910,x-ray,0
1/1/1920,anatomical diagram,3
1/1/1920,apparatus,0
1/1/1920,brain section,32
1/1/1920,building,0
1/1/1920,hands,0
1/1/1920,histology,160
1/1/1920,historical,3
1/1/1920,history,2
1/1/1920,other,1
1/1/1920,other diagram,1
1/1/1920,patient,1
1/1/1920,patient-produced artifact,0
1/1/1920,physician,0
1/1/1920,specimen,19
1/1/1920,x-ray,26
1/1/1930,anatomical diagram,22
1/1/1930,apparatus,15
1/1/1930,brain section,47
1/1/1930,building,14
1/1/1930,hands,0
1/1/1930,histology,123
1/1/1930,historical,9
1/1/1930,history,8
1/1/1930,other,3
1/1/1930,other diagram,1
1/1/1930,patient,31
1/1/1930,patient-produced artifact,2
1/1/1930,physician,2
1/1/1930,specimen,0
1/1/1930,x-ray,85
1/1/1940,anatomical diagram,9
1/1/1940,apparatus,7
1/1/1940,brain section,28
1/1/1940,building,3
1/1/1940,hands,1
1/1/1940,histology,101
1/1/1940,historical,3
1/1/1940,history,3
1/1/1940,other,15
1/1/1940,other diagram,0
1/1/1940,patient,31
1/1/1940,patient-produced artifact,3
1/1/1940,physician,4
1/1/1940,specimen,0
1/1/1940,x-ray,19
1/1/1950,anatomical diagram,8
1/1/1950,apparatus,11
1/1/1950,brain section,21
1/1/1950,building,0
1/1/1950,hands,0
1/1/1950,histology,17
1/1/1950,historical,2
1/1/1950,history,0
1/1/1950,other,14
1/1/1950,other diagram,2
1/1/1950,patient,17
1/1/1950,patient-produced artifact,0
1/1/1950,physician,6
1/1/1950,specimen,4
1/1/1950,x-ray,23
1/1/1960,anatomical diagram,5
1/1/1960,apparatus,15
1/1/1960,brain section,4
1/1/1960,building,7
1/1/1960,hands,2
1/1/1960,histology,9
1/1/1960,historical,10
1/1/1960,history,0
1/1/1960,other,0
1/1/1960,other diagram,9
1/1/1960,patient,12
1/1/1960,patient-produced artifact,2
1/1/1960,physician,14
1/1/1960,specimen,0
1/1/1960,x-ray,7
